Kapitel.Nummer,Identitet,Enhet,Artiklar,Mtrl-summa,Tim-summa,UE-summa,Beräknat pris (kr),Senast uppdaterad,Källa-wbr
17.013,"Köksstomme H=2278, luckor vit",st,"S4.1220200 Handduksskåp B=200 (mtrl 1714, tim 0.85, UE 0, åtgång 1, spill 1)
S4.1230400 Lådfackskåp B=400 (mtrl 6569, tim 0.95, UE 0, åtgång 1, spill 1)
S4.1291106 Spishällskåp-3 lådor B=600 (mtrl 5031, tim 0.95, UE 0, åtgång 1, spill 1)
S4.1290108 Bänkskåp-3 lådor B=800 (mtrl 5910, tim 1, UE 0, åtgång 1, spill 1)
S4.1292108 Diskbänkskåp-1 låda B=800 (mtrl 5790, tim 1, UE 0, åtgång 1, spill 1)
S4.2500400 Väggskåp B=400 (mtrl 1688, tim 0.85, UE 0, åtgång 1, spill 1)
S4.2530600 Fläktskåp B=600 (mtrl 2340, tim 0.85, UE 0, åtgång 1, spill 1)
S4.2500800 Väggskåp B=800 (mtrl 2979, tim 0.9, UE 0, åtgång 3, spill 1)
S4.2550600 Skåp över kyl-frys B=600 (mtrl 1889, tim 0.9, UE 0, åtgång 1, spill 1)
S4.3560600 Skafferiskåp B=600 (mtrl 9394, tim 1.1, UE 0, åtgång 1, spill 1)
S4.3590116 Inbyggnadsskåp-2 lådor  B=600 (mtrl 6848, tim 1.1, UE 0, åtgång 1, spill 1)
S4.3801160 Täcksida bänksk. 585x870 vitmålad (mtrl 503, tim 0.17, UE 0, åtgång 1, spill 1)
S4.3802190 Täcksida väggsk. 350x864 vitmålad (mtrl 385, tim 0.17, UE 0, åtgång 1, spill 1)
S4.3803122 Täcksida högsk. 585x2112 vitmålad (mtrl 863, tim 0.2, UE 0, åtgång 1, spill 1)
S4.3806054 Passbit vitmålad B=54 (mtrl 246, tim 0.11, UE 0, åtgång 4.1, spill 1.1)
S4.8010000 Rostfritt bygelhandtag (mtrl 50, tim 0.15, UE 0, åtgång 25, spill 1)
Y4.2010400 Bänkskiva av PP L=400 (mtrl 315, tim 0.45, UE 0, åtgång 1, spill 1)
Y4.2010800 Bänkskiva av PP L=800 (mtrl 631, tim 0.55, UE 0, åtgång 1, spill 1)
Y4.4001600 Diskbänk L=1600 (mtrl 6463, tim 0.55, UE 0, åtgång 1, spill 1)
Q1.4327000 Kakelstänkskydd, H=450 vita (mtrl 92, tim 0.8, UE 0, åtgång 4, spill 1.05)
H5.1736100 Kakellist, 16x55 vitmålad (mtrl 70.1, tim 0.14, UE 0, åtgång 4, spill 1.1)
S7.1101500 Inklädnad ök skåp H=150 (mtrl 50.9, tim 0.36, UE 0, åtgång 6.2, spill 1.1)",68671.44,24.53,0,91487,2026-04-22,HSB-3a-ROT-helrenovering-v6.wbr
17.015,"Köksstomme H=2278, luckor ek",st,"S4.1320200 Handduksskåp B=200 (mtrl 2091, tim 0.85, UE 0, åtgång 1, spill 1)
S4.1330400 Lådfackskåp B=400 (mtrl 6822, tim 0.95, UE 0, åtgång 1, spill 1)
S4.1390106 Bänkskåp-3 lådor B=600 (mtrl 5596, tim 0.95, UE 0, åtgång 2, spill 1)
S4.1391106 Spishällskåp-3 lådor B=600 (mtrl 5135, tim 0.95, UE 0, åtgång 1, spill 1)
S4.1390108 Bänkskåp-3 lådor B=800 (mtrl 6244, tim 1, UE 0, åtgång 1, spill 1)
S4.1392108 Diskbänkskåp-1 låda B=800 (mtrl 6125, tim 1, UE 0, åtgång 1, spill 1)
S4.2600400 Väggskåp B=400 (mtrl 2236, tim 0.85, UE 0, åtgång 1, spill 1)
S4.2630600 Fläktskåp B=600 (mtrl 2933, tim 0.85, UE 0, åtgång 1, spill 1)
S4.2600600 Väggskåp B=600 (mtrl 2678, tim 0.85, UE 0, åtgång 2, spill 1)
S4.2600800 Väggskåp B=800 (mtrl 3842, tim 0.9, UE 0, åtgång 3, spill 1)
S4.2650600 Skåp över kyl-frys B=600 (mtrl 2446, tim 0.9, UE 0, åtgång 2, spill 1)
S4.3690116 Inbyggnadsskåp-2 lådor  B=600 (mtrl 7759, tim 1.1, UE 0, åtgång 1, spill 1)
S4.3801260 Täcksida bänksk.585x870 ekfanerad (mtrl 762, tim 0.17, UE 0, åtgång 3, spill 1)
S4.3802290 Täcksida väggsk. 350x864 ekfanerad (mtrl 534, tim 0.17, UE 0, åtgång 3, spill 1)
S4.3803222 Täcksida högsk. 585x2112 ekfanerad (mtrl 1075, tim 0.2, UE 0, åtgång 1, spill 1)
S4.8010000 Rostfritt bygelhandtag (mtrl 50, tim 0.15, UE 0, åtgång 32, spill 1)
Y4.2010400 Bänkskiva av PP L=400 (mtrl 315, tim 0.45, UE 0, åtgång 1, spill 1)
Y4.2011400 Bänkskiva av PP L=1400 (mtrl 1103, tim 0.55, UE 0, åtgång 1, spill 1)
Y4.4002200 Diskbänk L=2200 (mtrl 7852, tim 0.55, UE 0, åtgång 1, spill 1)
Q1.4327000 Kakelstänkskydd, H=450 vita (mtrl 92, tim 0.8, UE 0, åtgång 5.2, spill 1.05)
H5.1736100 Kakellist, 16x55 vitmålad (mtrl 70.1, tim 0.14, UE 0, åtgång 5.2, spill 1.1)
S7.1101500 Inklädnad ök skåp H=150 (mtrl 50.9, tim 0.36, UE 0, åtgång 8.2, spill 1.1)",89506.41,31.06,0,118392,2026-04-22,HSB-3a-ROT-helrenovering-v6.wbr
17.014,Vitvaror m.m. i kök,st,"Y8.1040500 Spishäll (mtrl 5400, tim 0.7, UE 0, åtgång 1, spill 1)
Y8.1050100 Fläkt över spis (mtrl 2100, tim 1, UE 0, åtgång 1, spill 1)
Y8.1041100 Inbyggnadsugn (mtrl 5550, tim 1, UE 0, åtgång 1, spill 1)
Y8.1021000 Kyl-frys 183/140 l (mtrl 8250, tim 1, UE 0, åtgång 1, spill 1)
Y8.1060100 Diskmaskin (mtrl 7500, tim 1, UE 0, åtgång 1, spill 1)",28800,4.7,0,33171,2026-04-22,HSB-3a-ROT-helrenovering-v6.wbr
15.029,Stänkskydd av kakel över bänkinrede,m,"Q1.4328000 Kakelstänkskydd, H=450 färgade (mtrl 119, tim 0.8, UE 0, åtgång 1, spill 1.05)
H5.1736300 Kakellist, 16x55 av björk (mtrl 179, tim 0.14, UE 0, åtgång 1, spill 1.1)",321.85,0.94,0,1196,2026-04-22,HSB-3a-ROT-helrenovering-v6.wbr
20.003,Underentreprenader VS,st,"A7.1103010 VS-installationer (mtrl 0, tim 0, UE 0, åtgång 1, spill 1)
A7.1103020 Yttre VA (mtrl 0, tim 0, UE 0, åtgång 1, spill 1)
A7.1103030 Sprinkler (mtrl 0, tim 0, UE 0, åtgång 1, spill 1)",0,0,0,0,2026-04-22,HSB-3a-ROT-helrenovering-v6.wbr
15.009,Vinylplastmatta på golv rivs,m²,"R1.1687000 Vinylplastmatta rivs (mtrl 0, tim 0.12, UE 0, åtgång 1, spill 1)",0,0.12,0,112,2026-04-22,HSB-3a-ROT-helrenovering-v6.wbr
17.005,WC-utrustning rivs,st,"R7.1002100 Spegel 600x450 rivs (mtrl 0, tim 0.08, UE 0, åtgång 1, spill 1)
R7.1042200 Bägarautomat rivs (mtrl 0, tim 0.04, UE 0, åtgång 1, spill 1)
R7.1045000 Klädkrok rivs (mtrl 0, tim 0.02, UE 0, åtgång 1, spill 1)
R7.1046000 Pappershandduksskåp rivs (mtrl 0, tim 0.04, UE 0, åtgång 1, spill 1)
R7.1046100 Papperskorg rivs (mtrl 0, tim 0.02, UE 0, åtgång 1, spill 1)
R7.1049000 Toalettpappershållare rivs (mtrl 0, tim 0.04, UE 0, åtgång 1, spill 1)
R7.1049200 Tvålautomat rivs (mtrl 0, tim 0.04, UE 0, åtgång 1, spill 1)
R2.1302200 Kakelfrimärke 750x450 rivs (mtrl 0, tim 0.4, UE 0, åtgång 1, spill 1)",0,0.68,0,632,2026-04-22,HSB-3a-ROT-helrenovering-v6.wbr
17.008,Badrumsutrustning rivs,st,"R7.1042000 Badrumsskåp rivs (mtrl 0, tim 0.06, UE 0, åtgång 1, spill 1)
R7.1043100 Draghandtag på vägg rivs (mtrl 0, tim 0.06, UE 0, åtgång 1, spill 1)
R7.1044000 Handdukshängare rivs (mtrl 0, tim 0.04, UE 0, åtgång 1, spill 1)
R7.1049000 Toalettpappershållare rivs (mtrl 0, tim 0.04, UE 0, åtgång 1, spill 1)
R7.1049100 Torkställ över badkar rivs (mtrl 0, tim 0.06, UE 0, åtgång 1, spill 1)",0,0.26,0,242,2026-04-22,HSB-3a-ROT-helrenovering-v6.wbr
17.009,Duschutrustning rivs,st,"R7.1043300 Duschdraperiskena L=1000 rivs (mtrl 0, tim 0.06, UE 0, åtgång 1, spill 1)
R7.1044000 Handdukshängare rivs (mtrl 0, tim 0.04, UE 0, åtgång 1, spill 1)
R7.1049300 Tvålhållare rivs (mtrl 0, tim 0.04, UE 0, åtgång 1, spill 1)",0,0.14,0,130,2026-04-22,HSB-3a-ROT-helrenovering-v6.wbr
15.013,Våtrumsspackling i fall,m²,"Q3.1113000 30 armerat flytspackel i fall (mtrl 0, tim 0, UE 2075, åtgång 1, spill 1)",0,0,2075,2283,2026-04-22,HSB-3a-ROT-helrenovering-v6.wbr
